publication_period,"['period', 'month', 'day']"
green_open_access,"['green open access', 'embargo period', 'share']"
green_open_access_embargo period,"['green open access', 'embargo period', 'share', 'day', 'month', 'year']"
publication_fee,"['$', 'USD', 'page charge']"
the_number_of_reviewer,"['blind', 'peer review ', 'review process', 'reviewer']"
the_number_of_keyword,"['keyword', 'maximum', 'minimum', 'more than']"
open_access,"['open access', 'choice', 'publish']"
format,"['column', 'format', 'word', 'latax', 'pdf', 'processor']"
the_length_of_text,"['text', 'maximum', 'less', 'exceed', 'around', 'more than']"
special_issue,"['special issue', 'special article']"
open_access fee,"['open access publication fee', 'taxes', '$', 'USD', 'Role of the funding source', 'Funding body agreements and policies']"
submission_date,"['submission date', 'period', 'day', 'month', 'year']"
abstract,"['abstract ', 'word', 'exceed', 'around', 'more than']"
submission_fee,"['$', 'USD', 'Role of the funding source', 'Funding body agreements and policies']"
journal_topic,"['topic', 'consider']"
language,"['engliish', 'language', 'text']"
